"Process Type","Process Name","Process ID","Output Resource","Pathways the process is used in.","SCC",9991,9992,9993,9994,9995,9996,888,"NOTES","NOTES"
"StationaryProcess","Biomass Gasification for FT Jet Fuel Production",13774280,"Fischer-Tropsch Jet Fuel","Fischer-Tropsch Jet Fuel from Biomass",30102199,,99920300,,,,,,,
"StationaryProcess","Biomass CO2 Credit, FT Jet Fuel",13774506,"Fischer-Tropsch Jet Fuel","Fischer-Tropsch Jet Fuel from Biomass","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","NG Production from LFG (for FT Jet Fuel)",13881011,"Natural Gas","Fischer-Tropsch Jet Fuel from Landfill Gas","31000201;31000202;31000203;31000204;31000205;31000206;31000207;31000208;31000209;31000211;31000215;31000216;31000220;31000222;31000223;31000224;31000225;31000226;31000227;31000228;31000229;31000230;31000231;31000299",,,,,,,,,
"StationaryProcess","FT Jet Fuel Production (from Landfill Gas) without co-product",13881121,"Fischer-Tropsch Jet Fuel","Fischer-Tropsch Jet Fuel from Landfill Gas",30102199,,99920300,,,,,,,
"StationaryProcess","Landfill Gas/Renewable Natural Gas to NG as Intermediate Fuel",13970427,"Natural Gas","Dimethyl Ether from Landfill Gas/Renewable Gas","31000201;31000202;31000203;31000204;31000205;31000206;31000207;31000208;31000209;31000211;31000215;31000216;31000220;31000222;31000223;31000224;31000225;31000226;31000227;31000228;31000229;31000230;31000231;31000299",,,,,,,,,
"StationaryProcess","DME Production From Landfill/Renewable gas",14480291,"Dimethyl Ether","Dimethyl Ether from Landfill Gas/Renewable Gas",30125001,99910400,,,,,,,"DME isn't currently in widespread usage as a fuel",
"StationaryProcess","NG Production from LFG with Energy and Emission Credits",14483749,"Natural Gas","Landfill Gas to NA NG as an intermediate fuel","31000201;31000202;31000203;31000204;31000205;31000206;31000207;31000208;31000209;31000211;31000215;31000216;31000220;31000222;31000223;31000224;31000225;31000226;31000227;31000228;31000229;31000230;31000231;31000299",,,,,,,,,
"StationaryProcess","FT Naphtha Production (From NG)",15174028,"NG-Based FT Naphtha",,"10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","Production of Displaced Steam from NNA Flared Gas",17579637,"Steam","Stream produced from NNA Flared Gas at the MeOH plant,Stream produced from NNA Flared Gas at the DME plant,Stream produced from NNA Flared Gas at the FT plant,Stream produced from NNA Flared Gas at the CNG plant,Stream produced from NNA Flared Gas at the LNG plant","31000414;31000415",,,,,99951300,,,,
"StationaryProcess","Corn stover liquid fuel to Pyrolysis Fuel",18624647,"Pyrolysis Fuel (Gasoline and Diesel)","Pyrolysis Gasoline from Corn Stover via Pyrolysis - Integrated System,Pyrolysis Diesel from Corn Stover via Pyrolysis - Integrated System","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","Application of bio-char to soil from corn stover pyrolysis (Integrated System)",18625423,"Liquid Fuel from corn stover",,"10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","Stable Bio-crude production via pyrolysis and stabilization of Corn Stover (Distributed System)",18704738,"Hydrotreated Pyrolysis Oil from Corn Stover","Stable Bio-crude via Corn Stover Pyrolysis and Stabilization (Distributed System)","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","Application of bio-char to soil from corn stover pyrolysis (Distributed System)",18704809,"Hydrotreated Pyrolysis Oil from Corn Stover",,"10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","Renewable Pyrolysis Fuel Refining at Standalone Bio-refinery (from Corn Stover)",18705278,"Pyrolysis Fuel (Gasoline and Diesel)","Pyrolysis Gasoline from Corn Stover via Pyrolysis - Distributed System at Standalone Bio-Refinery,Pyrolysis Diesel from Corn Stover via Pyrolysis - Distributed System at Standalone Bio-Refinery","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","Hydrotreated Pyrolysis Oil to Liquid Fuel",18707167,"Liquid Fuel from corn stover","Pyrolysis Gasoline from Corn Stover via Pyrolysis - Distributed System at Standalone Bio-Refinery,Pyrolysis Diesel from Corn Stover via Pyrolysis - Distributed System at Standalone Bio-Refinery","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","FT Jet Fuel Production (from NG of LFG)",18806075,"Fischer-Tropsch Jet Fuel","Fischer-Tropsch Jet Fuel from Landfill Gas-using NG from LFG as input","30901201;30901202;30901203",,,,,,,,"Precious metals recovery is 30901200. This only typically refers to gold, silver and platinum, but there are no other metal recovery/recycling codes given, and I don't think the process is that different.",
"StationaryProcess","Bio-char production",19316472,"Bio-char","Bio-char to soil (40 miles),Bio-char to soil (80 miles)",30100699,,,,,,,,"Charcoal production - other not classified",
"StationaryProcess","Conventional Jet Fuel Refining from Corn Stover Stable Bio-crude Oil",19402406,"Conventional Jet Fuel","Pyrolysis Conventional Jet Fuel from Corn Stover Stable Bio-crude Oil","40301013;40301014;40301015;40301016;40301017;40301018;40301111;40301112;40301113;40301114",,,,,,,,"Conventional refining",
"StationaryProcess","Ultra Low-Sulfur Jet Fuel Refining from Corn Stover Stable Bio-crude Oil",19408984,"ULS Jet Fuel","Ultra Low-Sulfur Jet Fuel from Corn Stover Stable Bio-crude Oil","20200901;20200902;20200905;20200907;20200908;20200909",99910500,,,,,,,,
"StationaryProcess","Stable Bio-crude production via pyrolysis and stabilization of Forest Residue (Distributed System)",19410542,"Hydrotreated Pyrolysis Oil from Forest Residue","Stable Bio-crude via Forest Residue Pyrolysis and Stabilization (Distributed System)","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","Conventional Jet Fuel Refining from Forest Residue Stable Bio-crude Oil",19412454,"Conventional Jet Fuel","Pyrolysis Conventional Jet Fuel from Forest Residue Stable Bio-crude Oil","40301013;40301014;40301015;40301016;40301017;40301018;40301111;40301112;40301113;40301114",,,,,,,,"Conventional refining",
"StationaryProcess","Ultra Low-Sulfur Jet Fuel Refining from Forest Residue Stable Bio-crude Oil",19412708,"ULS Jet Fuel","Ultra Low-Sulfur Jet Fuel from Forest Residue Stable Bio-crude Oil","40301013;40301014;40301015;40301016;40301017;40301018;40301111;40301112;40301113;40301114",,,,,,,,"storage at refinery",
"StationaryProcess","Renewable Pyrolysis Fuel Refining at Standalone Bio-refinery (from Forest Residue)",19919409,"Pyrolysis Fuel (Gasoline and Diesel)","Pyrolysis Gasoline from Forest Residue via Pyrolysis - Distributed System at Standalone Bio-Refinery,Pyrolysis Diesel from Forest Residue via Pyrolysis - Distributed System at Standalone Bio-Refinery","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","Forest Residue Pyrolysis, Stabilization & Upgrading",19921820,"Liquid Fuel from forest residue","Pyrolysis Gasoline from Forest Residue Pyrolysis - Integrated System,Pyrolysis Diesel from Forest Residue Pyrolysis - Integrated System","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","Forest residue liquid fuel to Pyrolysis Fuel",19922179,"Pyrolysis Fuel (Gasoline and Diesel)","Pyrolysis Gasoline from Forest Residue Pyrolysis - Integrated System,Pyrolysis Diesel from Forest Residue Pyrolysis - Integrated System","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","Hydrotreated Pyrolysis Oil (fromForest Residue) Upgrading at Conventional Refinery",19927026,"Liquid Fuel from forest residue","Pyrolysis Fuel from Forest Residue via Pyrolysis - Distributed System at Conventional Petroleum Refinery,Renewable Gasoline from Forest Residue via Pyrolysis - Distributed System at Conventional Petroleum Refinery (adhoc),Pyrolysis Gasoline from Forest Residue via Pyrolysis - Distributed System at Standalone Bio-Refinery,Pyrolysis Diesel from Forest Residue via Pyrolysis - Distributed System at Conventional Petroleum Refinery,Pyrolysis Gasoline from Forest Residue via Pyrolysis - Distributed System at Conventional Petroleum Refinery","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","Renewable Gasoline or Diesel Refining at Conventional Petroleum Refinery",19927208,"Pyrolysis Fuel (Gasoline and Diesel)","Pyrolysis Fuel from Forest Residue via Pyrolysis - Distributed System at Conventional Petroleum Refinery","10100101;10100102;10100201;10100202;10100203;10100204;10100205;10100212;10100215;10100217;10100218;10100221;10100222;10100223;10100224;10100225;10100226;10100237;10100238;10100301;10100302;10100303;10100306;10100317;10100318;10100401;10100404;10100405;10100406;10100501;10100504;10100505;10100601;10100602;10100604;10100701;10100702;10100703;10100712;10100801;10100901;10100902;10100903;10100908;10100910;10100911;10100912;10101001;10101002;10101101;10101201;10101202;10101204;10101206;10101207;10101208;10101301;10101302;10101501;10101502;10101601;10102101",99910200,,,,,,,,
"StationaryProcess","FT Jet Fuel Production (from Flared Gas) without co-product",19928022,"Fischer-Tropsch Jet Fuel","Fischer-Tropsch Jet Fuel from Flared Gas","30301101;30301102;30301199",,,,,,,,,
"StationaryProcess","Soy Oil to Jet Fuel",19994234,"Renewable Jet Fuel","Soy Oil-based Renewable Jet Fuel","30206012;30201906",99910500,,,,,,,"30206012 is Biodiesel oil treatment. Another possibility might be vegetable oil production 30201901. Neither are specific enough to give good spatial data for this in my opinion",
"StationaryProcess","Palm FFB to Palm Oil (Unallocated)",20016100,"Palm Oil","Palm Oil-based Renewable Jet Fuel","30206012;30201906",99910500,,,,,,,"30206012 is Biodiesel oil treatment. Another possibility might be vegetable oil production 30201901. Neither are specific enough to give good spatial data for this in my opinion",
"StationaryProcess","Palm Oil to Jet Fuel",20017496,"Renewable Jet Fuel","Palm Oil-based Renewable Jet Fuel","30206012;30201906",99910500,,,,,,,"30206012 is Biodiesel oil treatment. Another possibility might be vegetable oil production 30201901. Neither are specific enough to give good spatial data for this in my opinion",
"StationaryProcess","Sodium Brine Production",20097895,"Sodium Brine","Sodium Brine with Transportation in U.S.,Sodium Brine in U.S.","30102102;30102103;30102104;30102106;30102107;30102108;30102113;30102114;30102121;30102122;30102123;30102124;30102125;30102126;30102127;30102199",,,,,,,,"Brine evaporation to form sodium carbonate",
"StationaryProcess","Starch Production",20098160,"Starch","Starch","30201401;30201402;30201403;30201404;30201405;30201406;30201407;30201408;30201410;30201411;30201412;30201413;30201421;30201422",,,,,,,,,
"StationaryProcess","Corn Steep Liquor Production",20098281,"Corn Steep Liquor","Corn Steep Liquor",30200756,,,,,,,,,
"StationaryProcess","Molasses Production",20098390,"Molasses","Molasses",30201501,,,,,,,,"Sugar cane refining",
"StationaryProcess","Sodium Hydroxide Production",20100608,"Sodium Hydroxide","Sodium Hydroxide","30102102;30102103;30102104;30102106;30102107;30102108;30102113;30102114;30102121;30102122;30102123;30102124;30102125;30102126;30102127;30102199",,99920300,,,,,,"just used sodium carbonate",
"StationaryProcess","Glucose Production",20101382,"Glucose","Glucose","30201401;30201402;30201403;30201404;30201405;30201406;30201407;30201408;30201410;30201411;30201412;30201413;30201421;30201422",,,,,,,,"This is starch production; assume that glucose in the US is produced on-site via enzymatic hydrolysis",
"StationaryProcess","Alpha Amylase Production",20101512,"Alpha Amylase","Alpha Amylase","30203404;30203405;30203406;30203407;30203410;30203420;30203421;30203504;30203505;30203506;30203507;30203531",,,,,,,,"Amylase is an enzyme which is a (biological) catalyst, so we might want to class this as 30509200 (catalyst manufacturing). However, this is under 'mineral products', which suggests its production is non-biological, whereas amylase is often produced microbially. Looking at the GREET source, we see that the production of the microorganism giving alpha-amylase is very similar to that of yeast ('submerged fermentation', with e.g. molasses as an input). So we use the yeast production code",
"StationaryProcess","Gluco Amylase Production",20101622,"Gluco Amylase","Gluco Amylase","30203404;30203405;30203406;30203407;30203410;30203420;30203421;30203504;30203505;30203506;30203507;30203531",,,,,,,,"Same for alpha amylase above (20101512)",
"StationaryProcess","Cellulase Production",20101747,"Cellulase","Cellulase","30203404;30203405;30203406;30203407;30203410;30203420;30203421;30203504;30203505;30203506;30203507;30203531",,,,,,,,"Same for alpha amylase above (20101512)",
"StationaryProcess","Yeast Production",20101902,"Yeast","Yeast","30203404;30203405;30203406;30203407;30203410;30203420;30203421;30203504;30203505;30203506;30203507;30203531",,,,,,,,"Assume compressed baker's yeast (GREET source doesn't distinguish between dry and compressed, and the process is similar except dry yeast is dried afterwards). There's no process for any type of yeast production other than baker's.",
"StationaryProcess","Grain sorghum farming",20107256,"Grain sorghum","Grain sorghum Production for Ethanol plant",2801000000,,,,99942090,,,,,
"StationaryProcess","Grain Sorghum to Ethanol via fermentation using NG",20108726,"Ethanol","Ethanol Production from Sorghum","30205010;30205011;30205012;30205013;30205014;30205020;30205021;30205030;30205031;30205032;30205033;30205034;30205035;30205038;30205039;30205040;30205041;30205050;30205051;30205052;30205053;30205054;30205091",,,,,,,,,
"StationaryProcess","Grain sorghum to Ethanol via fermentation using RNG",20176716,"Ethanol","Ethanol Production from Sorghum","30205010;30205011;30205012;30205013;30205014;30205020;30205021;30205030;30205031;30205032;30205033;30205034;30205035;30205038;30205039;30205040;30205041;30205050;30205051;30205052;30205053;30205054;30205091",,,,,,,,,
"StationaryProcess","Sweet sorghum farming (wet tonne)",20178425,"Sweet sorghum","Sweet sorghum Production for Ethanol Plant (wet tonne)",2801000000,,,,99942090,,,,,
"StationaryProcess","Sweet Sorghum to Ethanol (Conventional)",20179680,"Ethanol","Ethanol Production from Sorghum","30205010;30205011;30205012;30205013;30205014;30205020;30205021;30205030;30205031;30205032;30205033;30205034;30205035;30205038;30205039;30205040;30205041;30205050;30205051;30205052;30205053;30205054;30205091",,,,,,,,,
"StationaryProcess","Forage sorghum farming",20184571,"Forage sorghum","Forage Sorghum Production for Ethanol Plant",2801000000,,,,99942090,,,,,
"StationaryProcess","Forage sorghum to Cellulosic Ethanol",20185450,"Ethanol","Ethanol Production from Sorghum","30205010;30205011;30205012;30205013;30205014;30205020;30205021;30205030;30205031;30205032;30205033;30205034;30205035;30205038;30205039;30205040;30205041;30205050;30205051;30205052;30205053;30205054;30205091",,,,,,,,,
"StationaryProcess","Sweet Sorghum to Ethanol (Integrated)",20187707,"Ethanol","Ethanol Production from Sorghum","30205010;30205011;30205012;30205013;30205014;30205020;30205021;30205030;30205031;30205032;30205033;30205034;30205035;30205038;30205039;30205040;30205041;30205050;30205051;30205052;30205053;30205054;30205091",,,,,,,,,
"StationaryProcess","Canola to Canola Oil",20439348,"Canola Oil","Canola Oil-based Renewable Jet Fuel","30206012;30201906",,,,,,,,"30206012 is Biodiesel oil treatment. Another possibility might be vegetable oil production 30201901. Neither are specific enough to give good spatial data for this in my opinion",
"StationaryProcess","Canola Oil to Jet Fuel",20440370,"Renewable Jet Fuel","Canola Oil-based Renewable Jet Fuel",,99910500,,,,,,,,
"StationaryProcess","Jatropha to Jatropha Oil",21209035,"Jatropha Oil","Jatropha Oil-based Renewable Jet Fuel","30206012;30201906",99910500,,,,,,,"30206012 is Biodiesel oil treatment. Another possibility might be vegetable oil production 30201901. Neither are specific enough to give good spatial data for this in my opinion",
"StationaryProcess","Camelina to Camelina Oil",21210320,"Camelina Oil","Camelina Oil-based Renewable Jet Fuel",30206012,,,,99942010,,,,,
"StationaryProcess","Jatropha Oil to Jet Fuel",21211219,"Renewable Jet Fuel","Jatropha Oil-based Renewable Jet Fuel","30206012;30201906",99910500,,,,,,,"30206012 is Biodiesel oil treatment. Another possibility might be vegetable oil production 30201901. Neither are specific enough to give good spatial data for this in my opinion",
"StationaryProcess","Camelina Oil to Jet Fuel",21211256,"Renewable Jet Fuel","Camelina Oil-based Renewable Jet Fuel","30206012;30201906",99910500,,,,,,,"30206012 is Biodiesel oil treatment. Another possibility might be vegetable oil production 30201901. Neither are specific enough to give good spatial data for this in my opinion",
"StationaryProcess","Soy Oil Extracted from Soybeans (for other uses)",22348839,"Soy Oil",,30201906,,,,,,,,,
"StationaryProcess","Soy Oil Extracted from Soybeans (for BD)",22430771,"Soy Oil",,30201906,,,,,,,,,
"StationaryProcess","Coal Gasification for FT Jet Fuel Production",23884111,"Fischer-Tropsch Jet Fuel","Fischer-Tropsch Jet Fuel from Coal","10200201;10200202;10200203;10200204;10200205;10200206;10200212;10200217;10200218;10200219;10200221;10200222;10200224;10200225;10200226;10200229",99910200,,,,,,,,
"StationaryProcess","US Hydrochloric Acid (per ton of HCl product) Production ",23906325,"Hydrochloric Acid","Hydrochloric Acid Production in U.S.",30101101,,,,,,,,,
"StationaryProcess","Chlorine Production in U.S.",23906504,"Chlorine","Chlorine Production in U.S.","30100701;30100702;30100705;30100706;30100709;30100799",,,,,,,,,
"StationaryProcess","Poplar Farming",24245258,"Poplar","Poplar Production for Both Ethanol and HOG",2801000000,,,,99941000,,,,"FORESTRY AND LOGGING SECTOR (NAICS 113) doesn't seem to have any SCC codes associated with it",
"StationaryProcess","Poplar to Ethanol via Fermentation",24247688,"Ethanol","Ethanol Production from Poplar","30205010;30205011;30205012;30205013;30205014;30205020;30205021;30205030;30205031;30205032;30205033;30205034;30205035;30205038;30205039;30205040;30205041;30205050;30205051;30205052;30205053;30205054;30205091",,,,,,,,,
"StationaryProcess","CO2 Transport and transfer from off-site (Algae pathway with no internal power generation)",25803630,"Carbon Dioxide",,"30206013;30206015;30206021;30206025",99910100,,,,,,,,
"StationaryProcess","CO2 Transport and transfer from off-site",25804331,"Carbon Dioxide","Algae oil production from lipid extraction pathway (LE)","30206013;30206015;30206021;30206025",99910100,,,,,,,,
"StationaryProcess","CO2 Transport and transfer from off-site (Algae pathway with ICE combustion of AD gas)",25804343,"Carbon Dioxide",,"30206013;30206015;30206021;30206025",99910100,,,,,,,,
"StationaryProcess","Electricity: RNG-Fired turbine",25805186,"Electricity","Other Purpose - RNG-Fired Power Generation (On-site)",20100201,,,,,,,,"I just took RNG to be the same as NG when it comes to electricity production. The other options are Landfill Gas, which is too specific, and Process Gas, whose meaning I'm unclear on. ",
"StationaryProcess","Electricity: RNG-Fired ICE ",25805638,"Electricity","Other Purpose - RNG-Fired Power Generation (On-site)","20100201;20100202;20100205;20100206;20100207;20100208;20100209",,,,,,,,"I just took RNG to be the same as NG when it comes to electricity production. The other options are Landfill Gas, which is too specific, and Process Gas, whose meaning I'm unclear on. ",
"StationaryProcess","Algae Growth and 1st Dewatering",25897704,"Whole Algae Biomass","Algae oil production from lipid extraction pathway (LE)","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,,,,99951400,,,"THE US PRODUCES APPROXIMATELY NO COBALT, SO I'VE PUT THIS AS ABROAD. I think cobalt (I-II?) oxide is extracted from copper-cobalt oxide ore, as a byproduct of copper mining. But this is more general. NB If you are choosing between low and high moisture fairly arbitrarily, choose low: I've read that ores are often dried before entering a grinder .so the EF's are the same by dry weight.",
"StationaryProcess","Remaining Dewatering",25974277,"Whole Algae Biomass","Algae oil production from lipid extraction pathway (LE)",30901045,,,,,,,,,
"StationaryProcess","Lipid Oil Extraction",25974464,"Algae oil","Algae oil production from lipid extraction pathway (LE)","30201902;30201906;30201907;30201916;30201917;30201918;30201919;30201920;30201925;30201926;30201927;30201930;30201931;30201932;30201933;30201935;30201939;30201941;30201942;30201949;30201950;30201960;30201997;30201998;30201999",99910100,,,,,,,"Can we treat algae oil like vegetable oil? Otherwise we can use 30206012",
"StationaryProcess","Energy Recovery from LEA",25975497,"Algae oil","Algae oil production from lipid extraction pathway (LE)","30117401;30117402;30117410;30117411;30117421;30117480",,,,,,,,"This is ethylene oxide",
"StationaryProcess","Media water recovery",25978714,"Water_Media","Media water to algae farm","30125101;30125104;30125180",,,,,,,,,
"StationaryProcess","Diammonium Phosphate Production",26653855,"Diammonium Phosphate","Diammonium Phosphate","30103000;30103001;30103002;30103003;30103004;30103020;30103024;30103025;30103099",,,,,,,,,
"StationaryProcess","Triple Superphosphate Production",26658570,"Triple Superphosphate","Triple Superphosphate",30102903,,,,,,,,,
"StationaryProcess","Ethylene glycol production",26658641,"Ethylene Glycol","Ethylene glycol production",30125301,,99920300,,,,,,,
"StationaryProcess","Distilled water production",26658750,"Water_Distilled","Distilled water production",,,,99930000,,,,,"No emissions in GREET",
"StationaryProcess","AD Residue Output",26660675,"AD Residue","AD Residue","20300701;20300702;20300706;20300707",,,,,,,,"ANAEROBIC DIGESTION RESIDUE. GREET says this process is anaerobic digestion from manure. Assume to be the same as Digester Gas in SCC.",
"StationaryProcess","AD Residue Field Application",26660899,"AD Residue","AD Residue","20300701;20300702;20300706;20300707",,,,,,,,"ANAEROBIC DIGESTION RESIDUE. GREET says this process is anaerobic digestion from manure. Assume to be the same as Digester Gas in SCC.",
"StationaryProcess","Acrylonitrile-Butadiene-Styrene (ABS) Production",26663081,"Acrylonitrile-Butadiene-Styrene","ABS Production and Compression Molding,ABS Production and Extrusion,ABS Production and Injection Molding",30101849,,,,,,,,,
"StationaryProcess","Ethylene Propylene Diene Monomer (EPDM) Production",26667066,"Ethylene Propylene Diene Monomer","EPDM Production and Compression Molding,EPDM Production and Extrusion,EPDM Production and Injection Molding","30102601;30102602;30102608;30102609;30102610;30102611;30102612;30102613;30102614;30102616;30102617;30102619;30102621;30102625;30102630;30102641;30102644;30102645;30102646;30102650;30102651;30102655;30102656;30102699",,,,,,,,,
"StationaryProcess","Liquid epoxy production",26667553,"Liquid Epoxy","Liquid Epoxy Resin",30101847,,,,,,,,,
"StationaryProcess","General Purpose Polystyrene (GPPS) Production",26668277,"General Purpose Polystyrene","GPPS Resin",30800901,,,,,,,,,
"StationaryProcess","High-Impact Polystyrene (HIPS) production",26669846,"High-Impact Polystyrene Resin","HIPS production",30800901,,,,,,,,"Same as general polystyrene, but with polybutadiene (30105700) added during polymerisation.",
"StationaryProcess","Copper Ore Mining",26672759,"Copper Ore","Pt/Al2O3 Spent catalyst - Pyrometallurgical Treatment,Copper production","30302401;30302402;30302403;30302404;30302405;30302406;30302407;30302408;30302409;30302410;30302411",,,,,,,,,
